time,value
2025-01-06T04:27:31.096300794Z,244
2025-01-06T04:27:41.2787008Z,244
2025-01-06T04:27:51.474638357Z,244
2025-01-06T04:28:01.659086401Z,242
2025-01-06T04:28:11.848458258Z,242
2025-01-06T04:28:22.034047233Z,242
2025-01-06T04:28:32.226071417Z,242
2025-01-06T04:28:42.417726787Z,244
2025-01-06T04:28:52.602983608Z,244
2025-01-06T04:29:02.810414071Z,244
2025-01-06T04:29:12.981148374Z,244
2025-01-06T04:29:23.172306959Z,244
2025-01-06T04:29:33.357697133Z,244
2025-01-06T04:29:43.55055347Z,244
2025-01-06T04:29:53.740279416Z,244
2025-01-06T04:30:03.92907122Z,242
2025-01-06T04:30:14.11897282Z,244
2025-01-06T04:30:24.306617103Z,244
2025-01-06T04:30:34.498517595Z,242
2025-01-06T04:30:44.699154063Z,242
2025-01-06T04:30:54.874654666Z,244
2025-01-06T04:31:05.072584643Z,242
2025-01-06T04:31:15.253769976Z,242
2025-01-06T04:31:25.448862317Z,242
2025-01-06T04:31:35.6321623Z,242
2025-01-06T04:31:45.833235131Z,242
2025-01-06T04:31:56.010897506Z,242
2025-01-06T04:32:06.212418049Z,242
2025-01-06T04:32:16.390943182Z,242
2025-01-06T04:32:26.590357766Z,241
2025-01-06T04:32:36.770494714Z,242
2025-01-06T04:32:46.960850865Z,241
2025-01-06T04:32:57.148063266Z,241
2025-01-06T04:33:07.346504848Z,242
2025-01-06T04:33:17.528692973Z,241
2025-01-06T04:33:27.717690183Z,241
2025-01-06T04:33:37.904395741Z,241
2025-01-06T04:33:48.099209693Z,241
2025-01-06T04:33:58.281644704Z,241
2025-01-06T04:34:08.473832321Z,241
2025-01-06T04:34:18.663888521Z,241
2025-01-06T04:34:28.852644143Z,241
2025-01-06T04:34:39.046857844Z,241
2025-01-06T04:34:49.241467508Z,241
2025-01-06T04:34:59.418580436Z,241
2025-01-06T04:35:09.608825383Z,239
2025-01-06T04:35:19.800894904Z,239
2025-01-06T04:35:29.986844756Z,239
2025-01-06T04:35:40.179367462Z,239
2025-01-06T04:35:50.368806842Z,239
2025-01-06T04:36:00.556732315Z,239
2025-01-06T04:36:10.748144809Z,239
2025-01-06T04:36:20.937117182Z,238
2025-01-06T04:36:31.124524382Z,239
2025-01-06T04:36:41.320019453Z,239
2025-01-06T04:36:51.506074561Z,238
